2023-05-22 14:44:28,366 p=9970 u=ubuntu n=ansible | PLAY [Generate artifact, copy artifact & sql file to files directory] ***************************************************
2023-05-22 14:44:28,375 p=9970 u=ubuntu n=ansible | TASK [Gathering Facts] **************************************************************************************************
2023-05-22 14:44:29,664 p=9970 u=ubuntu n=ansible | ok: [localhost]
2023-05-22 14:44:29,680 p=9970 u=ubuntu n=ansible | TASK [Install  jdk, maven, git] *****************************************************************************************
2023-05-22 14:44:32,383 p=9970 u=ubuntu n=ansible | ok: [localhost] => (item=git)
2023-05-22 14:44:34,851 p=9970 u=ubuntu n=ansible | ok: [localhost] => (item=openjdk-8-jdk)
2023-05-22 14:44:37,327 p=9970 u=ubuntu n=ansible | ok: [localhost] => (item=maven)
2023-05-22 14:44:37,339 p=9970 u=ubuntu n=ansible | TASK [Clone source code from github] ************************************************************************************
2023-05-22 14:44:38,121 p=9970 u=ubuntu n=ansible | ok: [localhost]
2023-05-22 14:44:38,131 p=9970 u=ubuntu n=ansible | TASK [mvn install command to build artifact] ****************************************************************************
2023-05-22 14:44:38,145 p=9970 u=ubuntu n=ansible | skipping: [localhost]
2023-05-22 14:44:38,155 p=9970 u=ubuntu n=ansible | TASK [Copy artifacts to files directory] ********************************************************************************
2023-05-22 14:44:39,192 p=9970 u=ubuntu n=ansible | failed: [localhost] (item=/home/ubuntu/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war) => {"ansible_loop_var": "item", "changed": false, "checksum": "ab18159159cd4a33aa4fdd311fed380e28f51f6f", "item": "/home/ubuntu/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war", "msg": "Destination directory files does not exist"}
2023-05-22 14:44:39,197 p=9970 u=ubuntu n=ansible | PLAY RECAP **************************************************************************************************************
2023-05-22 14:44:39,197 p=9970 u=ubuntu n=ansible | localhost                  : ok=3    changed=0    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2023-05-22 14:49:08,516 p=11379 u=ubuntu n=ansible | PLAY [Generate artifact, copy artifact & sql file to files directory] ***************************************************
2023-05-22 14:49:08,525 p=11379 u=ubuntu n=ansible | TASK [Gathering Facts] **************************************************************************************************
2023-05-22 14:49:09,752 p=11379 u=ubuntu n=ansible | ok: [localhost]
2023-05-22 14:49:09,767 p=11379 u=ubuntu n=ansible | TASK [Install  jdk, maven, git] *****************************************************************************************
2023-05-22 14:49:12,454 p=11379 u=ubuntu n=ansible | ok: [localhost] => (item=git)
2023-05-22 14:49:14,985 p=11379 u=ubuntu n=ansible | ok: [localhost] => (item=openjdk-8-jdk)
2023-05-22 14:49:17,459 p=11379 u=ubuntu n=ansible | ok: [localhost] => (item=maven)
2023-05-22 14:49:17,470 p=11379 u=ubuntu n=ansible | TASK [Clone source code from github] ************************************************************************************
2023-05-22 14:49:18,264 p=11379 u=ubuntu n=ansible | ok: [localhost]
2023-05-22 14:49:18,273 p=11379 u=ubuntu n=ansible | TASK [mvn install command to build artifact] ****************************************************************************
2023-05-22 14:49:18,287 p=11379 u=ubuntu n=ansible | skipping: [localhost]
